,Username,Name,No_of_followers,No_of_followees,Tweet,Location,Created_at,Like_count,Retweet_count,to0,to1,to2,to3,to4,to5
717,RelawanNusanta1,Godeyes,4349,4367,"RT @LaRam_Jer: @tukangrosok___ @NajwaShihab @NajwaShihab cerdas menggali fakta ke narsum, dulu
Sekarang jauh berubah ....cendrung memaksaka…",,12/7/2021 1:41,0,5,LaRam_Jer,tukangrosok___,NajwaShihab,NajwaShihab,,
718,LaRam_Jer,ßa?g ?Æ?? ?,5000,5004,"@tukangrosok___ @NajwaShihab @NajwaShihab cerdas menggali fakta ke narsum, dulu
Sekarang jauh berubah ....cendrung memaksakan PEMBENARAN OPININYA ke narsum, jd kliatan 'narsis' bgt
Mngkin krn itu 'pamornya' jd tergeser oleh @corbuzier

~menurutku~","DKI Jakarta, Indonesia",12/7/2021 1:31,73,5,tukangrosok___,NajwaShihab,NajwaShihab,,,
719,Mriyusekali,Behind the Shadow,725,230,"@MautDzikrul @Uvhie6 @conan_idn @corbuzier .
gmn mo dsb negri islam, wong islam aja mau di bikin asing ma penguasa yg lg di kasih amanah mimpin ??

btw skrinsut yg lu kasih itu  emang isinya gk aneh yaa menurut lu ??",between mars and earth ,12/7/2021 1:29,0,0,MautDzikrul,Uvhie6,conan_idn,corbuzier,,
720,rehanrosemary,rehanrosemary??,1,14,"RT @Rudi70017360: #tangkapyagoal bntu angkat kasus ini para pemimpin melarikan uang ribuan masyarakat mencapai 3 triliun .

@_TNIAL_
@jokow…",,12/7/2021 1:27,0,11,Rudi70017360,,,,,
721,MautDzikrul,dzikrul maut,15,3,"@Mriyusekali @Uvhie6 @conan_idn @corbuzier Dikit lagi? 
Berarti menurut lo Indonesia bukan negri Islam ya? Berarti negri kafir gitu? 

Ok.. 
Lo mau bilang dikit lg jg terserah kok, tp kalau gw lebih pilih percaya pendapat ulama Ibnu Hazm ttg definisi negri Islam.",Bumi Allaah,12/7/2021 1:08,0,0,Mriyusekali,Uvhie6,conan_idn,corbuzier,,
722,Mriyusekali,Behind the Shadow,725,230,"@MautDzikrul @Uvhie6 @conan_idn @corbuzier .
dikit lagi lah kl mau di sebut sebagai negri islam ??

jd negri islam aja belum apa lagi jd pemerintahan islam seperti yg td lo bilang ?? dmn sistem dan hukumnya berdasarkan islam",between mars and earth ,12/7/2021 0:59,0,0,MautDzikrul,Uvhie6,conan_idn,corbuzier,,
723,bloodsport507,Robert DuBois,1,17,"@Ikan_kembungg @BasirWahyu @Purwanto_Totti @conan_idn @corbuzier Klo orang mengaku2 diri elo dan minta duit atas nama elo, masa gak marah haha. Sini ktp dan nomer2 kontak terdekat elo biar gua praktekin ??",,12/7/2021 0:55,2,0,Ikan_kembungg,BasirWahyu,Purwanto_Totti,conan_idn,corbuzier,
724,bloodsport507,Robert DuBois,1,17,@AndiniZ16817618 @conan_idn @corbuzier Iya dia kan tukang cebok anak si talabgsari,,12/7/2021 0:52,0,0,AndiniZ16817618,conan_idn,corbuzier,,,
725,bloodsport507,Robert DuBois,1,17,@hidupistiqomah2 @conan_idn @corbuzier Karir dia ampir ancur waktu ribut sama Captain Vincent,,12/7/2021 0:52,0,0,hidupistiqomah2,conan_idn,corbuzier,,,
726,bloodsport507,Robert DuBois,1,17,@jokerkurus @conan_idn @callmerahmasaja @corbuzier Orang pamer prestasi dia pamer kegoblokan haha,,12/7/2021 0:46,0,0,jokerkurus,conan_idn,callmerahmasaja,corbuzier,,
727,Array_Error,Array_Error,1,37,"@conan_idn @corbuzier corbuzier,gk mungkin berani undang habib bahar, bukan karena tkt sama orgnya, tp tkt untuk membersihkan komentar negatif dari netizen utk habib(Maaf krn byk org yg kontroversi), jk diteliti, di podcastnya deddy, tidak ada sama sekali komentar negatif, saat ada anies atau dudung.","Kota Surabaya, Jawa Timur",12/7/2021 0:33,1,0,conan_idn,corbuzier,,,,
728,faroz_palupi,kijeng mireng,153,263,@convomf Kasih tau dia om @corbuzier yang bener harus gimana,Indonesia,12/7/2021 0:09,0,0,convomf,corbuzier,,,,
729,MautDzikrul,dzikrul maut,15,3,"@Mriyusekali @Uvhie6 @conan_idn @corbuzier Apa yg bikin kamu ga yakin kalau Indonesia bukan negri Islam?
Pemimpinnya muslim, mayoritas penduduknya muslim, azan dikumandangkan. https://t.co/iyFJD5uUS6",Bumi Allaah,12/6/2021 23:40,0,0,Mriyusekali,Uvhie6,conan_idn,corbuzier,,
730,Daniard10,Daniard,380,871,"Seharusnya #DudungDungu  mendidih melihat hal seperti ini.

Dicatat ya @corbuzier 
Ada jenderal yang lebih mendidih melihat Baliho dibanding ancaman Papua Merdeka!!! https://t.co/M5PaSSXhvw",,12/6/2021 23:27,1,0,,,,,,
731,yadisupriadinew,Yadi Supriadi,374,511,"RT @conan_idn: Ini muridnya HRS. kalau mau ngomongin HRS, jangan cuman satu pihak dr dudung saja ded @corbuzier, undang dong Habib Bahar ya…",cilacap,12/6/2021 23:16,0,792,conan_idn,corbuzier,,,,
732,Mriyusekali,Behind the Shadow,725,230,"@MautDzikrul @Uvhie6 @conan_idn @corbuzier .
lo jangan jd orang.......
.......
.....

kurang kata ""jangan"" ??

ntar lo gk ngarti lagi maksud gw ??",between mars and earth ,12/6/2021 22:29,0,0,MautDzikrul,Uvhie6,conan_idn,corbuzier,,
733,Mriyusekali,Behind the Shadow,725,230,"@MautDzikrul @Uvhie6 @conan_idn @corbuzier .
eeh maliiih emang kitak skrg udah sah jd pemerintahan islam 
??????

lo jd orang yg bikin cebong dan bani Binpang ketakutan ma ketakutannya sendiri dong ??

Cebong ma bani Bipang kan anti ma pemerintahan islam ??

asbun aja lu maliiih ????????",between mars and earth ,12/6/2021 22:27,1,0,MautDzikrul,Uvhie6,conan_idn,corbuzier,,
734,Mriyusekali,Behind the Shadow,725,230,"@MautDzikrul @Uvhie6 @conan_idn @corbuzier .
????

islam datang utk mengurangi perbudakan, seandainya kedepannya msih ada budak pun itu jg dr kapir yg di jadiin tawanan perang krn dia si kapir kalah saat memerangi islam ??

jd kemungkinannya kcil ada budak yg kapir mimpin islam ??

cb baca ?? Al-Hujurat 13, trus pahami",between mars and earth ,12/6/2021 22:21,1,0,MautDzikrul,Uvhie6,conan_idn,corbuzier,,
735,MautDzikrul,dzikrul maut,15,3,@NobitaNubi @ronintumaritis @conan_idn @corbuzier Mungkin kopimu yg terlalu pait sehingga sulit menerima kebenaran. Ittaqillah bro.,Bumi Allaah,12/6/2021 21:34,0,0,NobitaNubi,ronintumaritis,conan_idn,corbuzier,,
736,wahidin96359819,wahidin,7,53,"@FerdinandHaean3 Liat cara ngomongnya anies udh ketauan dia lg ngibul,trs liat wajah pak dahlan jg sbnarnya dia gak prcya sama anies..kata pak dahlan,ah gua kena prank jg kya @corbuzier ??dari dlu krjanya ngeprank trs dulu wktu mau jd gubrnur wrga jkt di prank pakai ayat,smpe skrang hobi ngeprank",,12/6/2021 19:51,0,0,FerdinandHaean3,corbuzier,,,,
737,IvanNara3,Ivan Nara,18,670,@KomediRetjeh @corbuzier sikat om,,12/6/2021 19:21,0,0,KomediRetjeh,corbuzier,,,,
738,CaIonBos,Anak Emak,663,849,om @corbuzier masih bahagia??? https://t.co/W2Itjm1qxg,Di Bumi Pertiwi,12/6/2021 18:25,0,0,corbuzier,,,,,
739,namakoebento,Habib Sawer Assyaithani,1788,3917,"RT @PFTee: ??
Thank you @TretanMuslim menghibur kesedihan kami atas adanya problem sosial sebagian masyarakat Ind yg tidak toleran dgn cara…",,12/6/2021 18:06,0,10,PFTee,,,,,
740,NobitaNubi,Nobita.Nubi,6,86,@MautDzikrul @ronintumaritis @conan_idn @corbuzier Keknya kopimu kurang pait bos.. Ngopi dulu gih sana..,"Surakarta, Jawa Tengah",12/6/2021 18:03,0,0,MautDzikrul,ronintumaritis,conan_idn,corbuzier,,
741,yurikomartha,Martha Kristina Purb,250,195,"RT @PFTee: ??
Thank you @TretanMuslim menghibur kesedihan kami atas adanya problem sosial sebagian masyarakat Ind yg tidak toleran dgn cara…","Medan, Indonesia",12/6/2021 17:09,0,10,PFTee,,,,,
742,MautDzikrul,dzikrul maut,15,3,"@Mriyusekali @Uvhie6 @conan_idn @corbuzier Atau mau hadits yang secara gamblang menerangkan bahwa nanti akan ada pemerintahan Islam yg tidak bersyariat?
Biar lebih jelas dan puas.. 

Ini haditsnya: https://t.co/2FywBdSKBc",Bumi Allaah,12/6/2021 17:06,0,0,Mriyusekali,Uvhie6,conan_idn,corbuzier,,
743,MautDzikrul,dzikrul maut,15,3,"@Mriyusekali @Uvhie6 @conan_idn @corbuzier Ngerti makna tersirat ga? 

""Walaupun yang memerintah kalian seorang budak""

Dalam syariat Islam, budak tidak boleh jadi pemimpin. 

Dg kata lain, makna tersuratnya ""Tetaplah dengar dan taat walaupun pemimpin kalian naik dengan cara yg tidak syar'i.""

Ngerti?",Bumi Allaah,12/6/2021 16:59,0,0,Mriyusekali,Uvhie6,conan_idn,corbuzier,,
744,Mriyusekali,Behind the Shadow,725,230,"@MautDzikrul @Uvhie6 @conan_idn @corbuzier .
di bagian mana SS yg lu capture ada tertulis pemerintahan negara islam yg gk bersyariat 

btw lu udah tau belom soal jangan mengatas namakan nabi sesuatu hal yg gk pernah nabi katakan atau benarkan ??",between mars and earth ,12/6/2021 16:50,0,0,MautDzikrul,Uvhie6,conan_idn,corbuzier,,
745,IBadebadebu,IinBadebadebu,5,138,@corbuzier konak = coli . gak papa kan om kalo coli . jinah dengan tangan,,12/6/2021 16:29,0,0,corbuzier,,,,,
746,IBadebadebu,IinBadebadebu,5,138,@YudiWij28396538 @corbuzier kalo gak suka jangan diikutin . simple,,12/6/2021 16:27,0,0,YudiWij28396538,corbuzier,,,,
747,azhari_rangguci,azhari rangguci,140,233,"RT @conan_idn: Ini muridnya HRS. kalau mau ngomongin HRS, jangan cuman satu pihak dr dudung saja ded @corbuzier, undang dong Habib Bahar ya…","Bandung, Jawa Barat",12/6/2021 16:13,0,792,conan_idn,corbuzier,,,,
748,endanghidayat,Roemit2020,837,832,"RT @conan_idn: Ini muridnya HRS. kalau mau ngomongin HRS, jangan cuman satu pihak dr dudung saja ded @corbuzier, undang dong Habib Bahar ya…",,12/6/2021 16:11,0,792,conan_idn,corbuzier,,,,
749,tilkutil800,SUSAH TAOBAT,45,153,@Rudi70017360 @corbuzier Terbayang Ngakak nya om Dedi spt yg di Tiktok ????,"Cengkareng, Indonesia",12/6/2021 16:00,0,0,Rudi70017360,corbuzier,,,,
750,ymoriska,ym,1595,2277,"RT @conan_idn: Ini muridnya HRS. kalau mau ngomongin HRS, jangan cuman satu pihak dr dudung saja ded @corbuzier, undang dong Habib Bahar ya…",,12/6/2021 15:50,0,792,conan_idn,corbuzier,,,,
751,MautDzikrul,dzikrul maut,15,3,"@Mriyusekali @Uvhie6 @conan_idn @corbuzier Nabi sdh memprediksi akan adanya pemerintahan negara Islam yg tdk bersyariat. Tp kt tetap disuruh dengar &amp; taat. 

Perhatikan kalimat ""Walaupun yg memerintah seorang budak""

Budak bisa jadi pemerintah sudah pasti bukan sistem Islam, karena syarat pemimpin dlm Islam ga boleh budak https://t.co/clj4YBazxf",Bumi Allaah,12/6/2021 15:31,0,0,Mriyusekali,Uvhie6,conan_idn,corbuzier,,
752,clumsyygirll,?? ?? ?? ?? ?,53,106,keren bgt&lt;333 @JeromePolin @maudyayunda @corbuzier https://t.co/FU2Y6C8UfU,,12/6/2021 15:29,0,0,JeromePolin,maudyayunda,corbuzier,,,
753,ssqaajair,Ssqaajair,1,171,@EriYant67385861 @corbuzier @YouTube Ya ga ada kan? ????????,,12/6/2021 15:21,0,0,EriYant67385861,corbuzier,YouTube,,,
754,DedenYu26797745,Deden Yusuf,3,49,"RT @conan_idn: Ini muridnya HRS. kalau mau ngomongin HRS, jangan cuman satu pihak dr dudung saja ded @corbuzier, undang dong Habib Bahar ya…",,12/6/2021 15:19,0,792,conan_idn,corbuzier,,,,
755,Mriyusekali,Behind the Shadow,725,230,"@MautDzikrul @Uvhie6 @conan_idn @corbuzier .
haaallaah ??

kalo udah kefefet bawa² hadist ??, emang negara kitak udah jd negara khilafah yaa ??????

yg Umaronya gk boleh di tegur secara terang-terangan 

????????",between mars and earth ,12/6/2021 15:19,1,0,MautDzikrul,Uvhie6,conan_idn,corbuzier,,
756,MautDzikrul,dzikrul maut,15,3,@RikiSan07 @praburanggam @conan_idn @corbuzier Nabi mewasiatkan untuk dengar dan taat selama pemimpinnya masih mendirikan sholat. https://t.co/vsLIyQaZWi,Bumi Allaah,12/6/2021 15:15,0,0,RikiSan07,praburanggam,conan_idn,corbuzier,,
757,Julian51758164,???????????? Opa Jul,726,679,"@conan_idn @Boim____ @corbuzier Sy ragu keberanian dia  @DedyCobuzier undang Habib Bahar bin Smith, secara dia mengutamakan konten buat duniawinya.",,12/6/2021 15:14,0,0,conan_idn,Boim____,corbuzier,DedyCobuzier,,
